PERIMETER,AREA,LENGTH,HEIGHT,OUTPUT
842,13593,184,119,PAPER
898,15291,196,123,PAPER
976,17676,211,143,PAPER
982,18652,218,125,PAPER
1012,18423,216,127,PAPER
995,17544,210,127,PAPER
919,16700,205,125,PAPER
905,15922,200,123,PAPER
906,15301,195,141,PAPER
881,14800,193,124,PAPER
835,14095,188,121,PAPER
848,14438,188,144,PAPER
902,16109,198,151,PAPER
983,18699,216,149,PAPER
1105,21018,230,126,PAPER
1079,21322,232,126,PAPER
1049,20732,228,144,PAPER
999,19019,220,120,PAPER
948,17872,210,119,PAPER
940,17228,205,132,PAPER
931,16624,203,117,PAPER
910,16026,199,130,PAPER
903,15501,196,117,PAPER
1151,14264,192,133,SCISSORS
1176,14771,197,135,SCISSORS
1318,16550,214,139,SCISSORS
1298,16512,208,141,SCISSORS
1349,17729,216,143,SCISSORS
1352,19022,225,141,SCISSORS
1359,18926,223,152,SCISSORS
1368,19120,225,144,SCISSORS
1387,19600,228,143,SCISSORS
1419,20930,237,146,SCISSORS
1614,26111,276,139,SCISSORS
1542,25631,257,148,SCISSORS
1587,26571,257,155,SCISSORS
1645,27079,263,160,SCISSORS
1655,27693,266,158,SCISSORS
1656,27386,265,157,SCISSORS
1592,25327,252,155,SCISSORS
1546,24808,251,150,SCISSORS
1502,23458,246,144,SCISSORS
1444,22000,239,156,SCISSORS
1440,21164,236,139,SCISSORS
1422,20106,229,151,SCISSORS
1373,19639,227,142,SCISSORS
1338,18951,223,141,SCISSORS
1311,18094,219,136,SCISSORS
1280,17401,213,133,SCISSORS
1252,16786,210,137,SCISSORS
1261,16551,208,138,SCISSORS
1243,15585,202,140,SCISSORS
1238,16046,211,138,SCISSORS
1218,15363,208,139,SCISSORS
1225,15332,210,136,SCISSORS
1178,14851,206,135,SCISSORS
1175,14535,203,135,SCISSORS
1190,14437,203,136,SCISSORS
1173,14352,202,133,SCISSORS
1180,14168,201,131,SCISSORS
1140,13685,197,134,SCISSORS
1128,13506,196,132,SCISSORS
1127,13117,193,129,SCISSORS
1092,12698,190,129,SCISSORS
1065,12382,187,129,SCISSORS
1052,11930,184,128,SCISSORS
1034,11759,182,128,SCISSORS
1021,11496,181,132,SCISSORS
1017,11158,178,132,SCISSORS
1001,10929,176,131,SCISSORS
993,10693,175,128,SCISSORS
961,10354,172,124,SCISSORS
960,10102,170,123,SCISSORS
934,9794,167,123,SCISSORS
920,9605,165,121,SCISSORS
918,9354,163,120,SCISSORS
920,9175,161,120,SCISSORS
921,8845,159,118,SCISSORS
945,8780,159,121,SCISSORS
982,9132,164,119,SCISSORS
1024,9095,164,112,SCISSORS
1046,9090,165,111,SCISSORS
1037,9039,164,109,SCISSORS
1041,9013,163,114,SCISSORS
1054,9218,164,105,SCISSORS
1036,9599,167,120,SCISSORS
1069,10298,174,125,SCISSORS
1068,10919,180,110,SCISSORS
1111,11821,188,112,SCISSORS
1188,13160,199,121,SCISSORS
1209,13776,203,114,SCISSORS
1256,14504,210,113,SCISSORS
1275,15034,213,115,SCISSORS
1325,16180,221,117,SCISSORS
1409,17241,229,122,SCISSORS
1444,17997,234,121,SCISSORS
1500,18694,238,124,SCISSORS
1522,19726,243,140,SCISSORS
1559,19913,243,134,SCISSORS
1502,19704,241,141,SCISSORS
1528,20092,242,123,SCISSORS
1359,19047,217,129,SCISSORS
1368,20085,216,157,SCISSORS
1365,19559,216,146,SCISSORS
1346,18672,213,162,SCISSORS
1500,20598,240,160,SCISSORS
1524,19470,239,159,SCISSORS
1437,17812,230,152,SCISSORS
1408,17098,228,134,SCISSORS
1407,16670,223,150,SCISSORS
1319,15639,220,136,SCISSORS
1302,15276,217,135,SCISSORS
1315,15294,218,147,SCISSORS
1296,14956,216,135,SCISSORS
1249,14449,212,135,SCISSORS
1211,13689,205,142,SCISSORS
1159,13173,202,129,SCISSORS
1140,12460,196,128,SCISSORS
1085,11804,190,136,SCISSORS
1055,10877,182,126,SCISSORS
1008,10305,178,126,SCISSORS
982,9687,172,126,SCISSORS
985,9438,170,124,SCISSORS
982,9293,165,121,SCISSORS
1012,9858,169,121,SCISSORS
1023,10064,167,132,SCISSORS
1042,10908,174,115,SCISSORS
1045,11344,178,124,SCISSORS
1082,11977,182,129,SCISSORS
1180,12782,188,119,SCISSORS
1144,13573,193,137,SCISSORS
1250,14223,198,139,SCISSORS
1252,14745,201,142,SCISSORS
1294,16112,211,122,SCISSORS
1385,17857,222,141,SCISSORS
1449,19262,230,122,SCISSORS
1408,18717,222,143,SCISSORS
1350,17945,216,147,SCISSORS
1329,17752,211,158,SCISSORS
1412,18981,220,156,SCISSORS
1407,19724,227,133,SCISSORS
1426,19338,227,162,SCISSORS
1364,18226,222,150,SCISSORS
1371,17143,218,145,SCISSORS
1364,16646,216,147,SCISSORS
1326,15814,209,144,SCISSORS
1275,15447,209,122,SCISSORS
1216,14527,202,137,SCISSORS
1198,13924,199,117,SCISSORS
1163,13113,193,115,SCISSORS
1117,12406,188,113,SCISSORS
1077,11492,180,111,SCISSORS
1057,11208,178,122,SCISSORS
1046,10915,176,110,SCISSORS
1036,10596,174,119,SCISSORS
1022,10367,171,116,SCISSORS
1019,10398,172,115,SCISSORS
1013,10227,170,113,SCISSORS
1012,10154,170,108,SCISSORS
1025,10264,170,109,SCISSORS
1040,10715,175,116,SCISSORS
1059,11380,180,113,SCISSORS
1081,11982,185,124,SCISSORS
1120,12517,189,127,SCISSORS
1118,12701,189,118,SCISSORS
1148,13412,193,127,SCISSORS
1185,14264,199,116,SCISSORS
1220,14607,200,117,SCISSORS
1231,15005,201,129,SCISSORS
1208,15118,202,129,SCISSORS
1256,15539,206,121,SCISSORS
1266,15777,207,133,SCISSORS
1390,17115,221,124,SCISSORS
1426,18637,232,125,SCISSORS
1298,17017,207,131,SCISSORS
1263,16984,205,144,SCISSORS
1278,16545,203,129,SCISSORS
1218,15977,199,147,SCISSORS
1370,18124,225,163,SCISSORS
1335,18029,225,168,SCISSORS
1372,18128,227,140,SCISSORS
1371,18100,229,140,SCISSORS
1389,17833,226,162,SCISSORS
1354,18133,228,147,SCISSORS
1249,18111,228,168,SCISSORS
1083,14723,191,168,SCISSORS
1047,14454,190,168,SCISSORS
1207,17801,228,145,SCISSORS
1302,17750,224,168,SCISSORS
1365,17844,228,145,SCISSORS
1189,14114,189,162,SCISSORS
1189,14071,191,138,SCISSORS
1108,13262,184,162,SCISSORS
1091,12960,183,141,SCISSORS
903,12045,176,168,SCISSORS
816,11314,170,168,SCISSORS
962,13867,201,138,SCISSORS
1004,11079,165,166,SCISSORS
1006,10946,165,161,SCISSORS
980,10621,163,156,SCISSORS
1022,11013,168,142,SCISSORS
1125,12694,192,125,SCISSORS
1148,13009,197,113,SCISSORS
1127,12647,193,110,SCISSORS
1125,12438,192,110,SCISSORS
1101,12359,191,110,SCISSORS
1067,12266,190,110,SCISSORS
1077,12266,189,110,SCISSORS
1077,12361,190,110,SCISSORS
